,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,,Def Interceptions,,,,,Fumbles,,,,,Unnamed: 17_level_0,Tackles,,,,,Unnamed: 23_level_0,Year
,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,
0,1,Nick Allegretti,WAS,28,G,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2024
1,2,Josh Allen,BUF,28,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,2024
2,3,Budda Baker,ARI,28,S,16,16,0,0,0,0,5,0,0,0,0,0,2.0,155,91,64,9,3,0,2024
3,4,Saquon Barkley,PHI,27,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,2024
4,5,Jessie Bates III,ATL,27,S,16,16,4,55,1,55,10,4,0,1,0,0,1.0,97,58,39,2,1,0,2024
5,6,Zack Baun,PHI,28,LB,16,16,1,0,0,0,4,5,0,1,0,0,3.5,151,93,58,11,5,0,2024
6,7,Matthew Bergeron,ATL,24,OL,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
7,8,Joel Bitonio,CLE,33,G,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2024
8,9,Nick Bolton,KAN,24,LB,16,16,1,0,0,0,6,1,0,2,0,0,3.0,106,73,33,11,7,0,2024
9,10,Bradley Bozeman,LAC,30,C,16,16,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,2024
10,11,Jake Brendel,SFO,32,OL,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
11,12,Aaron Brewer,MIA,27,OL,16,16,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0,2024
12,13,Jordyn Brooks,MIA,27,LB,16,16,0,0,0,0,5,0,0,2,23,0,3.0,137,83,54,11,6,0,2024
13,14,Jonathan Bullard,MIN,31,DL,16,16,0,0,0,0,2,0,0,0,0,0,0.0,38,20,18,6,2,0,2024
14,15,Brian Burns,NYG,26,OLB,16,16,0,0,0,0,8,2,0,0,0,0,8.0,66,40,26,17,16,0,2024
15,16,Joe Burrow,CIN,28,QB,16,16,0,0,0,0,0,0,10,2,-3,0,0.0,0,0,0,0,0,0,2024
16,17,Kevin Byard,CHI,31,DB,16,16,1,0,0,0,7,0,0,2,0,0,1.0,116,71,45,4,1,0,2024
17,18,Camryn Bynum,MIN,26,S,16,16,3,3,0,3,10,0,0,2,0,0,0.0,89,47,42,1,0,0,2024
18,19,Calais Campbell,MIA,38,DT,16,16,0,0,0,0,5,1,0,0,0,0,4.0,49,33,16,11,11,0,2024
19,20,Jack Campbell,DET,24,LB,16,16,0,0,0,0,5,1,0,0,0,0,1.5,125,67,58,5,4,0,2024
20,21,Jeremy Chinn,WAS,26,S,16,16,1,0,0,0,5,1,0,2,0,0,1.0,104,65,39,5,2,0,2024
21,22,Kenny Clark,GNB,29,DL,16,16,0,0,0,0,2,0,0,2,0,0,1.0,35,19,16,4,5,0,2024
22,23,Micheal Clemons,NYJ,27,DL,16,16,0,0,0,0,0,1,0,0,0,0,4.5,32,16,16,4,7,0,2024
